id,nome_unidade,endereco,telefone,tipos_de_quadra,oferecimento_unidade,latitude,longitude,sobre
1,Aclimação,"Avenida Armando Ferrentini, 671",11 91772-9330,"Quadra Rápida, Squash","Vestiário, Bar, Restaurante, Snacks, Mini-lojinha com Produtos Essenciais",-23.5767579,-46.6364194,"A unidade Aclimação possui 3 quadras rápidas descobertas de piso sintético e 1 quadra de squash, todas com iluminação. Sua estrutura conta com vestiários masculino e feminino com chuveiros, artigos esportivos para venda (bolinhas, grips, munhequeiras, etc) e lanchonete (bebidas e salgadinhos). Esta unidade não possui estacionamento nem serviço de encordoamento."
2,Anália Franco,"Avenida Vereador Abel Ferreira, 1070​","11 96337-0000, 11 2506-5395",Quadra Saibro,"Vestiário, Bar, Estacionamento Gratuito, Lanchonete, Serviço de Encordoamento, Mini-lojinha com Produtos Essenciais",-23.5596783,-46.5671066,"A unidade Anália Franco possui 4 quadras descobertas de saibro, todas com iluminação. Sua estrutura conta com vestiários masculino e feminino com chuveiros, loja de materiais esportivos e lanchonete (bebidas, salgados e refeições). Esta unidade possui serviço de encordoamento (dentro da loja) e estacionamento gratuito com capacidade para até 15 carros."
3,Casa do Ator - Vila Olímpia,"Rua Casa do Ator, 501","11 99606-4000, 11 3848-9043","Quadra Rápida, Quadra Saibro","Vestiário, Bar, Serviço de Encordoamento, Mini-lojinha com Produtos Essenciais",-23.5991613,-46.6783917,"A unidade Vila Olímpia - Casa do Ator possui 1 quadra de saibro coberta e 2 quadras rápidas descobertas, todas iluminadas. Sua estrutura conta com vestiários masculino e feminino com chuveiros, venda de artigos esportivos e mini bar de auto-serviço (bebidas). Esta unidade não possui estacionamento PlayTennis, porém há estacionamentos na região."
4,Campo Belo,"Rua Demóstenes, 129 - Brooklin",11 2359-9864,"Quadra Rápida, Quadra Saibro","Vestiário, Bar, Estacionamento Gratuito, Restaurante, Loja de Artigos Esportivos, Serviço de Encordoamento, Mini-lojinha com Produtos Essenciais",-23.6196852,-46.6696834,"A Unidade Campo Belo possui 4 quadras sendo 2 de saibro cobertas, 1 de piso sintético coberta e 1 de piso sintético descoberta. A unidade conta com lanchonete, vestiários, lojinha com materiais esportivos, serviço de encordoamento e estacionamento cortesia."
6,Ibirapuera,"Rua Estado de Israel, 860. Vila Clementino",11 97752-0488,"Quadra Rápida, Ginásio Poliesportivo","Vestiário, Estacionamento Amplo, Lanchonete",-23.5939191,-46.6496062,"A unidade PlayTennis Ibirapuera possui 4 quadras rápidas descobertas, todas com iluminação. Estamos localizados dentro da Fundação São Paulo/SP – Derdic. Uma estrutura completa e recém reformada para proporcionar momentos de lazer e entretenimento a todos!"
7,Ipiranga,"Rua Dom Mateus, 45","11 97235-9500, 11 2215-3834","Quadra Rápida, Quadra Saibro","Vestirário, Bar, Minilojinha com Produtos Essenciais, Paredão",-23.5749046,-46.6139782,"A unidade Ipiranga (Vila Monumento) possui 2 quadras cobertas de saibro, todas com iluminação. Além de 1 quadra rápida descoberta! Sua estrutura conta com vestiários masculino e feminino com chuveiros, venda de artigos esportivos, e mini bar de auto-serviço na área do tênis e do beach tennis. Esta unidade não possui estacionamento nem serviço de encordoamento."
8,Jardim das Perdizes,"Avenida Nicolas Boer, 120",11 9595-27000,Quadra Saibro,"Vestiário, Bar, Estacionamento Pago, Restaurante, Serviço de Encordoamento, Mini-lojinha com Produtos Essenciais, Duchas Externas, Área de Convivência",-23.5194485,-46.6791201,"A unidade Jardim das Perdizes possui 5 quadras de saibro descobertas, todas com iluminação. A unidade está dentro de um complexo compartilhado com o BotaniKafé (Restaurante), Care Club (Fisioterapia Esportiva) e Calçadão (Quadras de Areia), sua estrutura conta com vestiários masculino e feminino com chuveiros. Estacionamento terceirizado pago. Nesta unidade não há serviço de encordoamento."
9,Leblon - RJ,"Niemeyer, 121 Leblon, Rio de Janeiro​",21 99347-4444,"Quadra Rápida, Quadra Saibro","Vestiário, Estacionamento Pago",-22.992197,-43.2332174,"A unidade Leblon possui 1 quadra de saibro descoberta e 2 quadras rápidas descobertas, todas com iluminação e uma vista incrível para o mar! Está localizada dentro do Sheraton Grand Rio Hotel & Resort. Sua estrutura conta com vestiários masculino e feminino com chuveiros e estacionamento pago com desconto PlayTennis (basta carimbar no SPA). Nesta unidade não há serviço de encordoamento."
10,Morumbi,"Avenida Giovanni Gronchi, 3399","11 97540-9685, 11 3744-7075","Quadra Rápida, Squash, Quadra Saibro","Vestiário, Estacionamento Pago, Lanchonete, Serviço de Encordoamento, Mini-lojinha com Produtos Essenciais, Sala de Reunião",-23.6145029,-46.7313204,"A Unidade Morumbi possui 10 quadras: 2 de saibro descobertas, 3 de piso sintético cobertas, 5 de piso sintético descobertas, além de 1 quadra de squash administrada pela empresa Helinho Squash. Com estrutura de clube, a unidade conta com lanchonete, vestiários, lojinha com materiais esportivos, serviço de encordoamento e estacionamento pago com manobrista."
11,Nova Ipiranga,"Rua Costa Aguiar, 490",11 99318-1833,"Quadra Saibro, Quadra Rápida","Vestiário, Bar, Estacionamento Pago, Lanchonete, Mini-lojinha com Produtos Essenciais, Espaço com Churrasqueira",-23.5781129,-46.6072012,"A unidade Nova Ipiranga possui 6 quadras cobertas, sendo 2 quadras de piso sintético e 4 quadras de saibro, todas com iluminação. Sua estrutura conta com vestiários masculino e feminino com chuveiros, loja de equipamentos esportivos, lanchonete (bebidas, lanches e refeições), área com churrasqueira, estacionamento e uma estrutura super moderna!"
